group,TD-DOA,keyword
Legal,332,MAB
Legal,413,Legal
Legal,575,Legal
Legal,856,Legal
Legal,1499,Legal
Legal,1499,DS - Succeed
Legal,535,MAB
Normal,51,file screening
Normal,599,MAB
Normal,725,MAB
Normal,225,file screening
Normal,231,file screening
Normal,352,MAB
Normal,353,RTW
Normal,40,file screening
Normal,409,MAB
Legal,427,Legal
Legal,556,DS
Legal,556,RTW
Legal,816,MAB
Normal,71,file screening
Normal,513,MAB
Normal,162,file screening
Normal,162,file screening
Normal,398,RTW
Normal,739,MAB
Normal,19,file screening
Normal,40,file screening
DS,79,file screening
DS,379,MAB
DS,400,DS
Normal,51,file screening
Normal,55,file screening
Normal,55,file screening
Normal,149,MAB
Normal,268,MAB-2nd
Normal,21,file screening
Normal,39,file screening
Normal,150,MAB
Normal,122,file screening
Normal,391,MAB
DS,67,file screening
DS,109,file screening
DS,516,MAB
DS,663,MAB-2nd
DS,1348,DS
DS,1445,DS
DS,1510,DS - Succeed
Normal,14,file screening
Normal,60,file screening
Normal,60,file screening
Normal,195,MAB
Normal,27,MAB
DS,290,MAB
DS,298,RTW
DS,400,DS
Normal,62,RTW
Normal,58,MAB
Normal,64,RTW
Normal,135,MAB
Normal,135,MAB
DS,58,file screening
DS,155,MAB
DS,246,MAB-2nd
DS,736,DS
Normal,67,file screening
Normal,231,MAB
Normal,231,MAB
Normal,376,MAB-2nd
Normal,385,MAB-2nd
Normal,205,MAB
Normal,205,MAB
Normal,59,file screening
Normal,418,MAB
Normal,740,MAB
Normal,30,file screening
Normal,36,file screening
Normal,36,file screening
Normal,40,file screening
Normal,22,file screening
Normal,136,RTW
Normal,162,RTW
Normal,358,MAB
Normal,463,MAB-2nd
DS,48,file screening
DS,65,file screening
DS,149,MAB
DS,359,MAB-2nd
DS,408,DS
Normal,34,file screening
Normal,34,file screening
Normal,34,file screening
Normal,36,file screening
Normal,39,RTW
Normal,146,MAB
Normal,146,RTW
Normal,338,MAB
Normal,272,RTW
Legal,43,MAB
Legal,173,MAB
Legal,173,Legal
Legal,240,MAB
Legal,240,RTW
Legal,324,RTW
Normal,22,file screening
Normal,8,file screening
Normal,12,file screening
Normal,25,file screening
Normal,60,file screening
Normal,83,file screening
Normal,112,file screening
Normal,327,MAB
Normal,346,RTW
Normal,30,file screening
Normal,23,RTW
Normal,38,file screening
Normal,44,file screening
Normal,51,file screening
Normal,57,file screening
Normal,223,MAB
Normal,336,MAB-2nd
Normal,385,MAB-2nd
Normal,22,file screening
Normal,48,file screening
Normal,225,MAB
Normal,212,file screening
Normal,471,MAB
Normal,471,MAB
Normal,19,file screening
Normal,31,file screening
Normal,36,file screening
Normal,17,file screening
Normal,28,file screening
Normal,224,MAB
Normal,241,MAB
Normal,30,file screening
Normal,39,RTW
Normal,115,RTW
Normal,142,MAB
Normal,142,RTW
Normal,145,MAB
Normal,156,RTW
Normal,214,MAB
Normal,215,RTW
Legal,22,file screening
Legal,162,MAB
Legal,498,MAB-2nd
Legal,392,RTW
Legal,604,Legal
Normal,50,file screening
Normal,50,file screening
Normal,50,file screening
Normal,120,file screening
Normal,25,file screening
Normal,47,file screening
Normal,55,file screening
Normal,4,RTW
Normal,71,file screening
DS,24,file screening
DS,158,MAB
DS,143,RTW
DS,430,DS
Normal,20,file screening
Normal,63,file screening
Normal,63,file screening
Normal,29,file screening
Normal,72,file screening
Normal,419,MAB
Normal,207,RTW
Normal,297,MAB
DS,105,RTW
DS,261,MAB
DS,259,DS
DS,259,DS
DS,212,MAB
DS,259,RTW
DS,261,MAB
Normal,30,file screening
Normal,568,MAB
Normal,19,file screening
Normal,353,MAB
Normal,0,RTW
Normal,295,file screening
Normal,1001,MAB
Normal,33,file screening
Normal,55,file screening
Normal,271,MAB
Normal,369,MAB-2nd
Normal,7,RTW
Normal,41,MAB
Normal,41,RTW
Normal,53,RTW
Normal,73,MAB
Normal,83,RTW
Normal,188,MAB
Normal,119,RTW
Normal,188,MAB
Normal,361,file screening
Normal,868,MAB
Normal,27,file screening
Normal,58,file screening
Normal,186,file screening
Normal,319,file screening
Normal,345,MAB
Normal,479,MAB
Normal,497,RTW
Normal,25,file screening
Normal,64,file screening
Normal,905,MAB
DS,18,file screening
DS,22,file screening
DS,144,MAB
DS,235,MAB-2nd
DS,263,DS
DS,43,file screening
DS,61,file screening
DS,89,file screening
DS,95,file screening
DS,116,file screening
DS,483,MAB
DS,574,MAB
DS,599,RTW
DS,721,MAB-2nd
DS,966,DS
DS,966,DS - Succeed
Normal,54,file screening
Normal,228,MAB
Normal,228,MAB
Normal,459,MAB
Normal,550,MAB
DS,65,file screening
DS,295,MAB
DS,435,MAB-2nd
DS,615,DS
DS,693,DS
Normal,131,file screening
Normal,461,MAB
Normal,89,file screening
Normal,43,file screening
Normal,52,file screening
Normal,59,file screening
Normal,64,file screening
Normal,794,MAB
Normal,836,MAB
Normal,369,MAB
Normal,432,MAB
Normal,579,MAB
DS,27,file screening
DS,82,RTW
DS,121,MAB
DS,122,RTW
DS,153,RTW
DS,268,MAB
DS,268,MAB
DS,277,DS
Normal,33,file screening
Normal,81,file screening
Normal,375,MAB
Normal,64,file screening
Normal,124,RTW
Normal,162,MAB
DS,284,file screening
DS,286,file screening
DS,303,file screening
DS,482,MAB
DS,594,MAB
DS,697,MAB
DS,776,MAB-2nd
DS,755,DS
Normal,34,file screening
Normal,41,file screening
Normal,301,MAB
Normal,392,MAB-2nd
Normal,115,file screening
Normal,443,MAB
Normal,562,MAB
Normal,130,RTW
Normal,130,file screening
Normal,659,MAB
Normal,397,RTW
Normal,129,file screening
Normal,327,MAB
Normal,383,MAB-2nd
Normal,15,file screening
Normal,133,file screening
DS,54,file screening
DS,83,file screening
DS,314,DS
DS,747,MAB-2nd
Normal,19,file screening
Normal,161,MAB
Normal,132,file screening
Normal,132,file screening
Normal,31,file screening
Normal,144,file screening
Normal,145,file screening
Normal,228,MAB
Normal,202,RTW
Normal,100,file screening
Normal,131,RTW
Normal,163,RTW
Normal,288,RTW
Normal,288,RTW
Normal,361,MAB
Normal,324,RTW
Normal,361,MAB
Normal,379,RTW
Normal,361,MAB
Normal,379,RTW
Normal,37,file screening
Normal,196,RTW
Normal,546,MAB
Normal,22,file screening
Normal,135,file screening
Normal,136,file screening
Normal,302,MAB
Normal,282,file screening
Legal,84,RTW
Legal,100,RTW
Legal,113,Legal
Legal,238,RTW
Legal,584,MAB
Legal,520,RTW
Legal,584,MAB
Legal,595,RTW
Legal,731,MAB
Legal,990,MAB-2nd
Normal,81,file screening
Normal,115,RTW
Normal,23,file screening
Normal,23,file screening
Normal,52,file screening
Normal,52,file screening
Normal,33,file screening
Normal,109,file screening
Normal,112,file screening
Normal,334,MAB
DS,33,file screening
DS,44,file screening
DS,284,MAB
DS,410,DS
DS,649,file screening
DS,873,DS
DS,1084,MAB
Normal,23,file screening
Normal,56,file screening
Normal,56,file screening
Normal,23,file screening
Normal,126,file screening
Normal,127,file screening
Normal,22,file screening
Normal,124,file screening
Normal,124,file screening
Normal,287,MAB
Normal,686,MAB-2nd
Normal,91,file screening
Normal,62,file screening
Normal,10,file screening
DS,35,file screening
DS,171,RTW
DS,584,MAB
DS,747,MAB-2nd
DS,866,MAB-2nd
DS,787,DS
DS,810,DS - Succeed
DS,47,file screening
DS,124,MAB
DS,240,MAB-2nd
DS,297,DS
Normal,18,file screening
Normal,157,MAB
Normal,127,file screening
Normal,248,MAB-2nd
Normal,339,MAB
Normal,402,MAB
Normal,493,MAB
Normal,401,RTW
Normal,56,file screening
Normal,75,file screening
Normal,77,file screening
Normal,148,MAB
DS,119,RTW
DS,188,MAB
DS,314,MAB-2nd
DS,554,MAB
DS,680,MAB-2nd
DS,466,DS
DS,188,MAB
DS,489,MAB
DS,601,MAB
DS,591,DS
DS,591,MAB-2nd
DS,664,MAB
DS,664,MAB-2nd
DS,690,DS
DS,690,MAB
Normal,413,MAB
Normal,4,file screening
Normal,443,MAB-2nd
DS,50,file screening
DS,95,file screening
DS,96,file screening
DS,650,MAB
DS,797,MAB-2nd
DS,1194,DS
Normal,33,RTW
Normal,31,file screening
Normal,196,MAB
Normal,5,RTW
Normal,610,MAB
DS,285,MAB
DS,320,DS
DS,353,DS
DS,353,DS - Succeed
DS,353,DS - Succeed
Normal,70,RTW
Normal,183,RTW
Normal,183,RTW
Normal,1740,MAB
Normal,238,RTW
Normal,287,MAB
Normal,257,RTW
Normal,1740,MAB
Normal,264,RTW
Normal,75,MAB
Normal,123,MAB
Normal,124,MAB
Normal,169,RTW
Normal,53,file screening
Normal,63,file screening
Normal,-44,RTW
Normal,273,MAB
Normal,20,file screening
Normal,69,file screening
Normal,70,file screening
Normal,21,file screening
Normal,114,MAB
Normal,74,file screening
Normal,74,file screening
Normal,25,file screening
Normal,35,file screening
Normal,552,MAB
Normal,14,RTW
Normal,77,MAB
Normal,77,RTW
Normal,217,RTW
Normal,161,MAB-2nd
Normal,161,MAB
Normal,220,MAB
Normal,88,file screening
Legal,43,file screening
Legal,46,file screening
Legal,46,file screening
Legal,714,Legal
Legal,1096,Legal
Normal,21,file screening
Normal,62,file screening
Normal,63,file screening
Normal,34,file screening
Normal,20,RTW
Normal,49,file screening
Normal,148,RTW
Normal,378,MAB
Normal,483,MAB
Normal,176,MAB
Normal,255,MAB
Normal,255,MAB
Normal,255,MAB
Normal,333,MAB
Normal,373,MAB
Normal,277,MAB
Normal,476,MAB
Normal,55,MAB
Normal,55,MAB-2nd
Normal,55,RTW
Normal,55,file screening
Normal,60,RTW
Normal,221,MAB
Normal,372,MAB
Normal,352,MAB
Normal,342,RTW
Normal,352,MAB
Normal,355,RTW
Normal,459,MAB
Normal,492,MAB-2nd
Normal,492,RTW
Normal,613,MAB
Normal,635,MAB
Normal,635,MAB-2nd
Normal,635,RTW
Normal,21,file screening
Normal,346,RTW
Normal,470,MAB
Normal,89,file screening
Normal,411,RTW
Normal,790,MAB
Normal,197,file screening
Normal,615,MAB
Normal,735,MAB
Normal,40,file screening
Normal,81,file screening
Normal,130,RTW
Normal,255,MAB
Normal,290,MAB
DS,49,file screening
DS,347,RTW
DS,569,MAB
DS,763,MAB-2nd
DS,651,DS
Normal,177,MAB
Normal,275,MAB-2nd
Normal,338,MAB-2nd
Normal,436,MAB-2nd
Normal,424,RTW
Normal,746,MAB
Normal,33,file screening
Normal,445,MAB
Normal,655,MAB-2nd
Normal,570,MAB
Normal,480,RTW
Normal,689,MAB-2nd
Normal,33,file screening
Normal,41,file screening
Normal,452,MAB
Normal,324,RTW
Normal,67,file screening
Normal,75,file screening
Normal,75,file screening
Normal,124,MAB
Normal,40,file screening
Normal,148,MAB
Normal,89,file screening
Normal,59,file screening
Normal,108,file screening
Normal,733,MAB
Normal,733,MAB
Normal,23,file screening
Normal,39,file screening
Normal,39,file screening
Normal,24,file screening
Normal,24,RTW
Normal,40,file screening
Normal,40,file screening
DS,47,file screening
DS,47,MAB
DS,47,RTW
DS,70,RTW
DS,89,RTW
DS,111,MAB
DS,103,RTW
DS,111,MAB
DS,112,RTW
DS,161,RTW
DS,173,MAB
DS,173,RTW
DS,314,MAB
DS,314,MAB
DS,231,RTW
DS,412,MAB
DS,327,RTW
DS,412,MAB
DS,374,RTW
DS,412,MAB
DS,668,DS
DS,668,DS
DS,936,DS
DS,938,DS
Normal,34,file screening
Normal,131,RTW
Normal,672,MAB
Normal,75,file screening
Normal,62,RTW
Normal,77,file screening
Normal,80,file screening
Normal,55,file screening
Normal,69,file screening
Normal,73,RTW
Normal,489,MAB
Normal,531,MAB
Normal,60,file screening
Normal,79,file screening
Normal,88,file screening
Normal,153,file screening
Normal,375,MAB
Normal,552,MAB
Normal,553,RTW
Normal,84,RTW
Normal,84,file screening
Normal,450,MAB
Normal,513,MAB
Normal,414,MAB
Legal,118,file screening
Legal,170,Legal
Legal,385,MAB
Legal,745,MAB
Legal,755,MAB
Legal,865,MAB-2nd
Normal,88,file screening
Normal,566,MAB
Normal,1098,MAB-2nd
Normal,55,file screening
Normal,56,file screening
Normal,154,MAB
Normal,34,file screening
Normal,65,file screening
Normal,65,file screening
Normal,210,MAB
Normal,616,MAB-2nd
Normal,25,file screening
Normal,60,file screening
Normal,60,file screening
Normal,119,MAB
Normal,79,file screening
Normal,326,MAB
Normal,101,file screening
Normal,102,file screening
Normal,116,file screening
Normal,116,file screening
Normal,56,file screening
Normal,105,MAB
Normal,251,RTW
Normal,0,MAB
Normal,279,RTW
Normal,168,MAB
Normal,102,file screening
Normal,78,MAB
Normal,195,MAB
Normal,195,MAB
Normal,195,MAB
Normal,176,RTW
Normal,195,MAB
Normal,263,MAB
Normal,342,MAB
Normal,94,file screening
Normal,174,file screening
Normal,200,file screening
Normal,202,file screening
Normal,278,MAB
Normal,284,RTW
Normal,183,file screening
Normal,150,RTW
Normal,17,file screening
Normal,39,file screening
Normal,39,file screening
Normal,283,MAB
Normal,266,RTW
Normal,25,file screening
Normal,46,file screening
DS,92,file screening
DS,893,DS
Normal,14,file screening
Normal,56,file screening
Normal,56,file screening
Normal,408,MAB
Normal,43,file screening
Normal,160,MAB
Normal,99,RTW
Normal,425,RTW
Normal,888,MAB-2nd
Normal,125,MAB
Normal,63,file screening
DS,56,file screening
DS,68,file screening
DS,78,file screening
DS,78,file screening
DS,81,file screening
DS,153,MAB
DS,238,DS
Normal,72,file screening
Normal,80,file screening
Normal,353,MAB
Normal,291,RTW
Normal,535,MAB-2nd
Normal,99,file screening
Normal,99,file screening
Normal,113,file screening
Normal,198,MAB
Normal,140,RTW
Normal,11,file screening
Normal,142,file screening
Normal,142,file screening
Normal,267,MAB
DS,22,file screening
DS,152,file screening
DS,153,file screening
DS,781,DS
DS,784,DS - Succeed
DS,192,RTW
DS,208,RTW
DS,208,RTW
DS,241,MAB
DS,251,RTW
DS,285,MAB
DS,376,MAB
DS,321,MAB
DS,321,RTW
DS,376,MAB
DS,381,RTW
DS,441,DS
DS,37,DS
DS,72,DS
DS,72,RTW
DS,125,RTW
DS,169,MAB
DS,146,RTW
DS,220,MAB
DS,171,RTW
DS,318,MAB
DS,402,MAB
DS,486,MAB
DS,109,MAB
DS,525,RTW
Normal,47,file screening
Normal,185,MAB
Normal,106,file screening
Normal,137,RTW
Normal,11,RTW
Normal,40,file screening
Normal,406,MAB
Normal,156,file screening
Normal,360,RTW
Normal,380,MAB
Normal,24,file screening
Normal,39,file screening
Normal,62,MAB
Normal,62,RTW
Normal,140,MAB
Normal,322,MAB
DS,29,file screening
DS,44,file screening
DS,755,DS
Normal,72,RTW
Normal,128,MAB
Normal,128,RTW
Normal,109,MAB
Normal,199,RTW
Normal,474,MAB
Normal,474,MAB
Normal,487,RTW
Normal,474,MAB
Normal,487,RTW
DS,24,file screening
DS,183,DS
DS,183,file screening
DS,185,file screening
Normal,26,file screening
Normal,69,file screening
Normal,69,file screening
Normal,55,file screening
Normal,166,file screening
Normal,166,file screening
Normal,566,MAB
Normal,14,file screening
Normal,50,file screening
Normal,51,file screening
Normal,681,MAB
Normal,772,MAB-2nd
DS,60,RTW
DS,171,MAB
DS,271,MAB
DS,207,DS
DS,271,MAB
DS,241,DS
DS,241,RTW
DS,271,MAB
DS,273,DS
DS,273,RTW
DS,425,MAB
DS,297,DS
DS,425,MAB
DS,332,DS
DS,425,MAB
DS,367,DS
DS,425,MAB
DS,399,DS
DS,425,MAB
DS,431,DS
DS,458,DS
DS,425,MAB
DS,558,MAB-2nd
DS,493,DS
DS,558,MAB-2nd
DS,495,MAB
DS,522,DS
DS,558,MAB-2nd
DS,556,DS
DS,558,MAB-2nd
DS,588,MAB-2nd
Normal,64,file screening
Normal,93,file screening
Normal,346,MAB
Normal,633,MAB-2nd
Normal,65,file screening
Normal,92,file screening
Normal,501,MAB
Normal,29,RTW
Normal,118,MAB
Normal,412,RTW
Normal,702,MAB
Normal,45,file screening
Normal,94,file screening
Normal,405,MAB
Normal,312,RTW
Normal,62,MAB
Normal,52,RTW
Normal,75,MAB
Normal,98,RTW
Normal,125,MAB
Normal,125,RTW
Normal,206,MAB
Normal,208,RTW
Normal,250,MAB
Normal,92,file screening
Normal,645,MAB
Normal,17,file screening
Normal,35,file screening
Normal,575,MAB
Normal,673,MAB-2nd
Normal,59,file screening
Normal,64,file screening
Normal,351,MAB
Normal,21,file screening
Normal,20,file screening
Normal,51,file screening
Normal,107,file screening
Normal,696,MAB
Normal,773,MAB-2nd
Normal,222,MAB
Normal,222,RTW
Normal,163,MAB
DS,54,RTW
DS,104,MAB
DS,104,MAB
DS,104,MAB
DS,105,RTW
DS,122,DS
DS,104,MAB
DS,122,MAB-2nd
DS,122,RTW
DS,150,RTW
DS,137,RTW
DS,186,RTW
DS,-90,MAB
DS,189,RTW
DS,192,DS
DS,192,RTW
DS,210,DS
DS,210,file screening
DS,211,RTW
DS,227,DS
DS,227,MAB
DS,260,DS
DS,260,MAB
DS,260,RTW
DS,416,MAB
DS,416,MAB
DS,416,MAB
DS,435,RTW
Normal,115,file screening
Normal,710,MAB
Normal,864,MAB-2nd
Normal,103,file screening
Normal,277,RTW
Normal,735,MAB
Normal,22,file screening
Normal,142,MAB
Normal,84,RTW
Normal,78,file screening
Normal,406,RTW
Normal,721,MAB
Normal,211,MAB
Normal,204,RTW
Normal,231,MAB
Normal,303,MAB
Normal,303,MAB
Normal,303,MAB
Normal,304,RTW
Normal,99,file screening
Normal,716,MAB
Normal,17,file screening
Normal,18,file screening
Normal,31,file screening
Normal,168,MAB
Normal,55,file screening
Normal,73,file screening
Normal,76,file screening
Normal,426,MAB
Normal,489,MAB-2nd
Normal,19,file screening
Normal,44,file screening
DS,95,MAB
DS,191,MAB
DS,191,MAB
DS,191,MAB
DS,191,MAB
DS,172,DS
DS,303,MAB
DS,303,MAB
DS,206,DS
DS,303,MAB
DS,238,DS
DS,303,MAB
DS,282,DS
DS,282,RTW
DS,51,file screening
DS,79,RTW
DS,162,RTW
DS,149,MAB
DS,204,RTW
DS,149,MAB
DS,222,RTW
DS,392,MAB
DS,392,MAB
DS,392,MAB
DS,392,MAB
DS,722,DS
DS,130,MAB
DS,116,DS
DS,130,MAB
DS,116,RTW
DS,158,MAB
Normal,46,file screening
Normal,375,MAB
Normal,592,MAB-2nd
DS,246,DS
DS,269,MAB
DS,269,RTW
DS,384,MAB
DS,322,DS
DS,384,MAB
DS,356,DS
DS,384,MAB
DS,462,MAB
DS,504,MAB
DS,491,DS
DS,491,RTW
Normal,23,file screening
Normal,71,file screening
Normal,321,MAB
DS,28,file screening
DS,223,DS
Normal,33,file screening
Normal,115,MAB
Normal,115,file screening
Normal,130,MAB
Normal,79,file screening
Normal,823,MAB-2nd
Legal,41,file screening
Legal,44,file screening
Legal,47,file screening
Legal,733,MAB
Legal,801,Legal
DS,43,file screening
DS,62,file screening
DS,210,DS
Normal,89,file screening
Normal,378,MAB
Normal,397,RTW
Normal,674,MAB-2nd
Normal,15,file screening
Normal,34,file screening
Normal,216,RTW
Normal,420,MAB
Normal,518,MAB-2nd
Normal,30,file screening
Normal,59,file screening
Normal,59,file screening
Normal,26,file screening
Normal,106,file screening
Normal,280,MAB
DS,39,file screening
DS,160,RTW
DS,387,MAB
DS,688,MAB-2nd
DS,723,DS
DS,739,DS
DS,787,DS - Succeed
Normal,54,file screening
Normal,319,MAB
Normal,445,MAB-2nd
Normal,56,file screening
Normal,446,MAB
Normal,565,MAB-2nd
Normal,76,file screening
Normal,3,RTW
Normal,100,file screening
Normal,5,RTW
Normal,657,MAB
Normal,130,MAB
Normal,130,RTW
Normal,166,MAB
Normal,201,MAB
Normal,313,MAB
Normal,313,MAB
Normal,313,MAB
Normal,313,MAB
Normal,86,file screening
Normal,401,MAB
Normal,38,file screening
Normal,228,MAB
Normal,147,RTW
Normal,30,file screening
Normal,64,file screening
Normal,183,MAB
Normal,397,MAB
DS,113,MAB
DS,113,MAB
DS,113,MAB
DS,114,MAB
DS,114,DS
DS,114,RTW
DS,113,MAB
DS,126,DS
DS,204,MAB
DS,136,DS
DS,204,MAB
DS,204,MAB
DS,519,DS
DS,519,DS
DS,561,DS
DS,573,DS - Succeed
Normal,23,file screening
Normal,436,MAB
Normal,42,file screening
Normal,775,MAB
Normal,35,file screening
Normal,37,file screening
Normal,37,file screening
Normal,84,file screening
Normal,276,RTW
Normal,621,MAB
Normal,67,file screening
Normal,553,MAB
Normal,733,MAB-2nd
Normal,396,MAB
Normal,67,file screening
Normal,768,MAB
Normal,106,file screening
Normal,205,RTW
Normal,408,MAB
Normal,243,RTW
Normal,82,file screening
Normal,291,MAB
Normal,397,MAB
Normal,117,file screening
Normal,32,file screening
Normal,39,file screening
Normal,27,file screening
Normal,59,file screening
Normal,62,file screening
Normal,33,file screening
Normal,370,MAB
Normal,46,file screening
Normal,63,file screening
Normal,66,file screening
Normal,121,MAB
DS,23,file screening
DS,190,MAB
DS,715,MAB-2nd
DS,779,DS
Normal,58,file screening
DS,276,file screening
DS,282,file screening
DS,408,MAB
DS,294,RTW
DS,409,RTW
DS,527,MAB-2nd
DS,668,DS
Normal,24,file screening
Normal,80,file screening
Normal,104,RTW
Normal,428,MAB
Normal,33,file screening
Normal,34,file screening
Normal,67,file screening
Normal,69,file screening
Normal,351,MAB
Normal,491,MAB-2nd
Normal,351,MAB
Normal,60,MAB
Normal,60,RTW
Normal,88,RTW
Normal,134,MAB
Normal,118,file screening
Normal,21,file screening
Normal,27,file screening
Normal,26,file screening
Normal,67,file screening
Normal,28,file screening
Normal,28,file screening
Normal,55,file screening
Normal,123,RTW
Normal,42,file screening
Normal,47,file screening
DS,103,MAB
DS,253,MAB
DS,149,RTW
DS,253,MAB
DS,161,DS
DS,253,MAB
DS,253,MAB
DS,177,RTW
DS,253,MAB
DS,215,RTW
DS,253,MAB
DS,253,MAB
DS,253,MAB
DS,253,MAB
DS,335,MAB
DS,357,MAB
DS,391,MAB
DS,463,MAB
DS,422,RTW
DS,581,DS
DS,581,MAB-2nd
Normal,77,file screening
Normal,376,RTW
Normal,689,MAB
Normal,607,RTW
Normal,20,file screening
Normal,25,file screening
Normal,60,file screening
Normal,272,MAB
Normal,879,MAB-2nd
Normal,230,RTW
Normal,55,file screening
Normal,436,MAB
Normal,58,file screening
Normal,58,file screening
Normal,16,file screening
Normal,55,file screening
Normal,175,RTW
Normal,463,MAB
DS,16,file screening
DS,30,file screening
DS,626,DS
DS,626,RTW
DS,645,DS - Succeed
Normal,103,file screening
Normal,151,RTW
Normal,152,file screening
Normal,494,MAB
Normal,598,MAB-2nd
Legal,75,file screening
Legal,92,file screening
Legal,175,MAB
Legal,308,RTW
Legal,494,Legal
Normal,53,file screening
Normal,73,file screening
Normal,293,file screening
Normal,150,MAB
Normal,73,file screening
Normal,33,file screening
Normal,64,file screening
Normal,64,file screening
Normal,328,MAB
Normal,61,file screening
Normal,61,file screening
Normal,33,file screening
Normal,75,file screening
Normal,111,file screening
Normal,440,MAB
Normal,601,MAB-2nd
Normal,45,RTW
Normal,201,RTW
Normal,238,MAB
Normal,339,MAB
Normal,419,MAB
Normal,419,MAB
Normal,419,MAB
Normal,33,file screening
Normal,385,MAB
Normal,223,MAB
Normal,33,file screening
Normal,58,file screening
Normal,220,MAB
Normal,19,file screening
Normal,44,file screening
Normal,44,file screening
Normal,204,MAB
Normal,17,file screening
Normal,41,file screening
Normal,221,MAB
Normal,128,file screening
Normal,921,MAB
Normal,30,file screening
Normal,163,file screening
Normal,763,MAB
Legal,22,Legal
Legal,22,file screening
Normal,246,file screening
Normal,247,file screening
Normal,6,RTW
Normal,396,MAB
Normal,44,file screening
Normal,334,MAB
Legal,37,file screening
Legal,9,RTW
Legal,54,file screening
Legal,293,MAB
Legal,734,Legal
Normal,380,MAB
Normal,44,file screening
Normal,92,file screening
Normal,220,MAB
Normal,330,RTW
Normal,36,file screening
Normal,495,MAB
DS,112,MAB
DS,252,MAB
DS,252,MAB
DS,252,MAB
DS,252,MAB
DS,277,DS
DS,277,MAB
DS,277,MAB-2nd
DS,312,DS
DS,385,MAB-2nd
DS,341,DS
DS,385,MAB-2nd
DS,385,MAB-2nd
DS,410,MAB
Normal,240,file screening
Normal,245,RTW
Normal,245,file screening
Normal,28,RTW
Normal,27,file screening
Normal,64,file screening
Normal,65,file screening
Normal,245,MAB
Normal,29,file screening
Normal,51,file screening
Normal,76,file screening
Normal,120,RTW
Normal,343,MAB
Normal,504,MAB-2nd
Normal,27,file screening
Normal,82,file screening
Normal,736,MAB
Legal,42,file screening
Legal,58,file screening
Legal,65,file screening
Legal,86,Legal
Legal,281,MAB
Normal,134,file screening
Normal,134,file screening
Normal,135,file screening
Normal,9,file screening
Normal,62,file screening
Normal,63,file screening
Normal,756,MAB
Normal,771,RTW
Legal,687,Legal
Legal,708,MAB
Legal,728,Legal
Normal,37,file screening
Normal,84,file screening
Normal,85,file screening
Normal,472,MAB
Normal,647,MAB-2nd
Normal,23,file screening
Normal,365,MAB
Normal,22,file screening
Normal,27,file screening
Normal,28,file screening
Normal,22,file screening
Normal,23,file screening
Normal,23,file screening
Normal,47,file screening
Normal,31,file screening
Normal,578,MAB
Normal,24,file screening
Normal,403,MAB
Normal,76,file screening
Normal,19,file screening
Normal,39,file screening
Normal,39,file screening
Normal,159,file screening
Normal,270,MAB
Normal,562,file screening
Normal,664,MAB
Normal,20,file screening
Normal,67,file screening
Normal,447,MAB
Normal,46,file screening
Normal,269,RTW
Normal,521,MAB
Normal,25,file screening
Normal,598,MAB
Normal,18,file screening
Normal,58,file screening
Normal,65,file screening
Legal,95,file screening
Legal,210,MAB
Legal,530,Legal
Normal,15,file screening
Normal,17,file screening
Normal,21,file screening
Normal,69,file screening
Normal,24,file screening
Normal,31,file screening
Normal,31,file screening
Normal,402,file screening
Normal,402,file screening
Normal,31,file screening
Normal,72,file screening
Normal,80,file screening
Normal,471,MAB
Normal,42,file screening
Normal,54,file screening
Normal,54,file screening
Normal,43,file screening
Normal,36,file screening
Normal,616,MAB
Normal,62,file screening
Normal,20,file screening
Normal,133,RTW
Normal,258,MAB
Normal,42,file screening
Normal,48,file screening
Normal,66,MAB
Normal,150,file screening
Normal,223,file screening
Normal,51,file screening
Normal,401,MAB
Normal,25,file screening
Normal,56,file screening
Normal,60,file screening
Normal,25,file screening
Normal,56,file screening
Normal,57,file screening
Normal,18,file screening
Normal,49,file screening
Normal,49,file screening
Normal,49,RTW
Normal,56,file screening
Normal,468,MAB
Normal,22,file screening
Normal,33,file screening
Normal,33,file screening
Normal,326,MAB
Normal,29,file screening
Normal,37,file screening
Normal,37,file screening
Normal,213,MAB
Normal,113,file screening
Normal,193,RTW
Normal,434,RTW
Normal,562,MAB
Normal,660,MAB-2nd
Normal,98,file screening
Normal,616,MAB
Normal,735,MAB-2nd
Normal,54,file screening
Normal,103,RTW
Normal,169,RTW
Normal,398,MAB
Normal,396,RTW
Normal,734,MAB-2nd
Normal,39,file screening
Normal,125,file screening
Normal,319,MAB
Normal,26,file screening
Normal,139,MAB
Normal,166,file screening
Normal,231,file screening
Normal,231,file screening
Normal,692,MAB
Normal,124,file screening
Normal,455,MAB
Normal,959,MAB-2nd
Normal,224,MAB
Normal,142,RTW
Normal,26,file screening
Normal,21,file screening
Normal,70,file screening
Normal,70,file screening
Normal,74,file screening
Normal,642,MAB
Normal,93,file screening
Normal,110,file screening
Normal,112,file screening
Normal,211,MAB
Normal,88,file screening
Normal,350,MAB
Normal,154,file screening
Normal,284,MAB
Normal,284,MAB
Normal,49,HLM
Normal,148,MAB
Normal,228,MAB
Normal,166,RTW
Normal,219,MAB
Normal,270,RTW
Normal,219,MAB
Normal,270,RTW
Normal,32,file screening
Normal,324,MAB
Normal,429,MAB-2nd
Normal,459,RTW
Normal,209,file screening
Normal,399,MAB
Normal,31,file screening
Normal,391,MAB
Normal,315,RTW
