tconst,startYear,title,Country of Origin,HK?,language,runtimeMinutes,genres,averageRating,numVotes
tt0079247,1978,Ten Tigers of Shaolin,Hong Kong,1,en,90,Action,6,102
tt0079276,1978,He Lan Du ren tou,Hong Kong,1,\N,90,Action,4.8,54
tt0079893,1978,Gwan wong,Taiwan/Hong Kong,1,yue,90,Action,5.9,106
tt0080600,1978,Jie quan duo ming zhan,Taiwan/Hong Kong,1,cmn,90,"Action,Drama",6.3,153
tt0159012,1978,Jiu wen long,Hong Kong/Taiwan,1,\N,90,"Action,Drama",4.3,39
tt0188763,1978,"Man's Fight with Snake, Fox & Ghost",Taiwan/Hong Kong,1,cmn,90,"Action,Drama",4.7,85
tt0190060,1978,Tattoo Connection,Hong Kong,1,en,90,"Action,Crime,Drama",5.2,483
tt1394349,1978,Lu se shan zhuang,Taiwan/Hong Kong,1,cmn,90,Romance,4.8,6
tt2613612,1978,密十至尊,Hong Kong,1,yue,90,"Action,Comedy",3.4,11
tt0078352,1978,The New Swordsman at Large,Hong Kong,1,en,89,"Action,Mystery",6.6,196
tt0087194,1978,Sap bat yuk law hon,Hong Kong/Taiwan,1,yue,89,"Action,Mystery",5.7,122
tt0165309,1978,Gwai ma gung foo,Hong Kong,1,yue,89,"Action,Comedy",6.4,55
tt0077339,1978,Lu Xiao Feng chuan qi zhi xiu hua da dao,Hong Kong,1,cmn,88,"Action,Mystery",6.2,208
tt0078253,1978,Shi zi mo hou shou,Hong Kong,1,\N,88,Action,6.1,307
tt0192619,1978,Snaky Knight Fights the Mantis,Taiwan/Hong Kong,1,en,88,"Action,Comedy,Drama",5.4,124
tt0202097,1978,Black Strike,Hong Kong,1,en,88,"Action,Adventure",5,72
tt0079076,1978,Enter Three Dragons,Hong Kong,1,en,87,"Action,Drama",5.5,162
tt0165255,1978,Wu da di zi,Hong Kong,1,\N,87,"Action,Drama",4.8,128
tt0165729,1978,Tough Guy,Taiwan/Hong Kong,1,en,87,"Action,Crime",5.4,148
tt0077528,1978,The Extras,Hong Kong,1,en,86,Drama,6.2,12
tt0077694,1978,Erotic Dream of the Red Chamber,Hong Kong,1,en,86,"Comedy,Romance",4.9,63
tt0165337,1978,The Delivery,Hong Kong,1,en,86,"Action,Drama",6,9
tt0187040,1978,The Master and the Kid,Taiwan/Hong Kong,1,en,86,"Action,Drama",6.2,156
tt0479602,1978,Nan long bei feng xi shan hu,Taiwan/Hong Kong,1,cmn,86,Action,6.4,55
tt0076692,1978,Sat chuet,Hong Kong,1,yue,85,"Action,Drama",6.5,279
tt0187130,1978,Shaolin Iron Claws,Hong Kong,1,en,85,"Action,Drama",5.6,63
tt0198792,1978,Pik lik lung kuen,Hong Kong/South Korea,1,yue,85,"Action,Adventure",5.1,41
tt0201191,1978,Shui yue men,Hong Kong,1,\N,85,"Action,Drama",6.6,57
tt0202137,1978,Yoga and the Kungfu Girl,Hong Kong,1,en,85,Action,4.2,39
tt0078260,1978,"Cold Face, Heart and Blood",Taiwan/Hong Kong,1,en,84,"Action,Drama",6.5,61
tt0165270,1978,"The Dragon, the Young Master",South Korea/Hong Kong,1,en,84,"Action,Drama",5.5,73
tt0077822,1978,Fox and Hounds,Hong Kong/Taiwan,1,en,83,"Action,Adventure,Comedy",6.2,57
tt0088309,1978,Hei dai hen,Hong Kong/Indonesia,1,\N,83,Action,5.7,36
tt0164428,1978,Blood of Dragon Peril,South Korea/Hong Kong,1,en,83,"Action,Drama",5.4,117
tt0078456,1978,The Bloody Hibiscus,Hong Kong,1,en,82,"Action,Adventure,Drama",6.7,274
tt0078912,1978,Dynamo,Hong Kong,1,en,81,"Action,Drama",5.2,125
tt0076698,1978,She zhu,Hong Kong,1,cmn,80,"Action,Adventure,Drama",4.4,171
tt0832488,1978,Deadly Strike,Hong Kong,1,en,78,Action,5.4,52
tt0165759,1978,Enter the Deadly Dragon,Hong Kong,1,\N,76,"Action,Drama",4.2,12
tt0373986,1978,My Darling Gals,Hong Kong,1,en,74,"Action,Adventure,Drama",4,15
tt0077570,1978,Suen wor,Hong Kong,1,yue,72,"Action,Crime,Horror",4.8,12
tt0078244,1978,Shaolin Invincible Guys,Hong Kong/Taiwan,1,en,63,"Action,Drama",5.8,53
tt0077667,1978,"Hello, Late Homecomers",Hong Kong,1,en,,"Action,Comedy,Drama",5.1,49
tt0198706,1978,Meng nan diao nu,Hong Kong/South Korea,1,cmn,,\N,5.7,11
tt1062938,1978,"Witty Hand, Witty Sword",Taiwan/Hong Kong,1,en,,Action,7,8
tt1308134,1978,"Kung Fu Means Fists, Strikes and Swords",Hong Kong,1,en,,Action,5.1,13
tt1427315,1978,A Journey of Love,Taiwan/Hong Kong,1,en,,Romance,6.5,7
tt1710563,1978,Dog Bites Dog Bone,Hong Kong,1,en,,"Comedy,Drama",7,9
tt0192213,1979,空山靈雨,Taiwan/Hong Kong,1,cmn,120,"Action,Adventure,Drama",7.3,1469
